horas,puntuacion
3,64
4,67
6,76
3,65
5,72
5,72
1,52
2,58
1,53
2,58
5,71
4,66
1,53
3,60
2,59
5,71
2,57
4,68
4,68
2,58
1,53
4,69
4,68
1,50
4,67
3,62
6,77
3,63
1,53
1,54
2,58
1,50
6,79
3,60
2,56
6,79
4,70
4,67
4,69
3,64
4,67
5,75
5,75
3,65
3,65
6,80
1,53
4,69
5,75
4,68
4,70
5,71
6,79
4,67
1,50
1,50
6,76
6,76
6,77
1,51
4,69
5,73
1,53
6,79
5,75
6,78
2,57
2,59
6,79
1,53
2,59
3,62
1,54
1,51
5,74
3,60
3,61
4,69
1,53
5,73
5,71
5,73
4,68
1,52
2,58
5,72
4,68
4,66
1,50
3,65
2,58
6,79
3,65
6,79
3,65
3,63
6,77
2,57
2,55
1,52
2,59
6,77
3,64
1,52
3,61
3,60
2,58
3,65
6,80
5,73
6,79
5,74
6,80
4,69
2,59
4,67
5,75
1,54
2,57
3,63
6,78
3,61
2,59
2,57
1,51
4,70
6,76
5,73
1,53
2,58
5,73
2,58
5,71
5,74
3,60
5,72
3,64
6,79
4,68
5,71
6,80
1,50
6,80
6,78
1,52
1,52
6,79
6,76
5,75
1,51
